Km,Owner Type,Seats,No Of Cylinder,Max Power Delivered,Max Torque Delivered,Listed Price,Car Age,Usage Type,Car Size,Is Turbo,Is Advanced Engine,City Freq,Brand Category_Commercial,Brand Category_Luxury,Brand Category_Mid,Brand Category_Other,Brand Category_Premium,Brand Category_Ultra_Luxury,Fuel_diesel,Fuel_electric,Fuel_lpg,Fuel_petrol,Car Segment_Other,Car Segment_SUV,Car Segment_Sedan,Transmission_manual,Drive Type_4wd,Drive Type_4x2,Drive Type_awd,Drive Type_fwd,Drive Type_rwd,Gear Type_CVT,Gear Type_Direct,Gear Type_Manual
91495.0,1.0,5,3,58.2,77.0,200000,14,2.0,9.0144625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,2.0,5,4,88.5,145.0,90000,20,1.0,9.263982,0,0,920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37900.0,1.0,5,3,58.16,77.0,534000,6,1.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80000.0,1.0,5,3,58.16,77.0,395000,11,2.0,9.1468585,0,0,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,5,3,58.16,77.0,385000,11,1.0,9.1468585,0,0,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80000.0,4.0,5,3,58.16,77.0,250000,8,2.0,9.1468585,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160666.5,2.0,5,3,58.16,77.0,325000,8,2.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57000.0,2.0,5,3,67.1,90.0,195000,16,1.0,8.46945,0,0,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30087.0,1.0,7,4,80.46,112.0,600000,10,1.0,12.2696982,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57953.0,2.0,5,4,61.7,85.0,350000,9,1.0,9.892640625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74000.0,2.0,5,3,67.04,90.0,305000,13,1.0,9.9178425,0,0,378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30000.0,1.0,2,4,61.68,85.0,500000,5,1.0,9.892640625,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,5,3,58.16,77.0,320000,11,1.0,9.1468585,0,0,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41558.0,1.0,7,4,80.9,110.0,570000,12,1.0,12.181159875,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45834.0,1.0,4,3,58.3,78.0,260000,11,1.0,7.921745625,0,0,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90309.0,1.0,7,4,80.9,110.0,715000,11,2.0,12.181159875,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89132.0,1.0,5,3,47.3,69.0,330000,7,2.0,7.57124875,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92000.0,1.0,5,3,58.33,78.0,410000,8,2.0,9.9178425,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80000.0,1.0,5,3,58.33,78.0,290000,13,2.0,9.9178425,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40000.0,1.0,5,4,68.05,95.2,750000,5,1.0,10.201632,0,0,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58000.0,1.0,5,3,58.16,77.0,285000,13,1.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157612.0,1.0,5,3,58.2,77.0,140974,15,2.0,9.0144625,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73000.0,2.0,5,3,58.16,77.0,310000,11,1.0,9.1468585,0,0,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30000.0,1.0,5,4,61.68,85.0,500000,6,1.0,9.892640625,0,0,309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77304.0,1.0,5,3,58.16,77.0,317736,9,1.0,9.1468585,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25000.0,1.0,5,4,68.05,95.2,725000,5,1.0,9.716448,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37334.0,1.0,5,3,58.33,78.0,450000,7,1.0,9.22272,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46483.0,2.0,5,4,116.3,146.0,395000,13,1.0,11.175813,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
